Initial data (entries count: 250):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
Judgment at Nuremberg         2061      9.3       0                   0                   
Casino                        2095      9.2       0                   0                   
Ran                           2085      9.2       0                   0                   
Pan's Labyrinth               2006      9.2       0                   0                   
The Truman Show               2098      9.2       0                   0                   
There Will Be Blood           2007      9.2       0                   0                   
Unforgiven                    2092      9.2       0                   0                   
The Sixth Sense               2099      9.2       0                   0                   
Shutter Island                2010      9.2       0                   0                   
A Beautiful Mind              2001      9.2       0                   0                   
Jurassic Park                 2093      9.2       0                   0                   
Yojimbo                       2061      9.2       0                   0                   
The Treasure of the Sierra... 2048      9.2       0                   0                   
Monty Python and the Holy ... 2075      9.2       0                   0                   
The Great Escape              2063      9.2       0                   0                   
No Country for Old Men        2007      9.2       0                   0                   
Spider-Man: No Way Home       2021      9.2       0                   0                   
Kill Bill: Vol. 1             2003      9.2       0                   0                   
Rashomon                      2050      9.2       0                   0                   
The Thing                     2082      9.2       0                   0                   
Finding Nemo                  2003      9.2       0                   0                   
The Elephant Man              2080      9.2       0                   0                   
Chinatown                     2074      9.2       0                   0                   
Raging Bull                   2080      9.2       0                   0                   
V for Vendetta                2005      9.2       0                   0                   
Gone with the Wind            2039      9.2       0                   0                   
Lock, Stock and Two Smokin... 2098      9.2       0                   0                   
Inside Out                    2015      9.2       0                   0                   
Dial M for Murder             2054      9.2       0                   0                   
The Secret in Their Eyes      2009      9.2       0                   0                   
Howl's Moving Castle          2004      9.2       0                   0                   
Three Billboards Outside E... 2017      9.1       0                   0                   
The Bridge on the River Kwai  2057      9.2       0                   0                   
Trainspotting                 2096      9.1       0                   0                   
Prisoners                     2013      9.1       0                   0                   
Warrior                       2011      9.2       0                   0                   
Fargo                         2096      9.1       0                   0                   
Gran Torino                   2008      9.1       0                   0                   
My Neighbor Totoro            2088      9.1       0                   0                   
Catch Me If You Can           2002      9.1       0                   0                   
Million Dollar Baby           2004      9.1       0                   0                   
Children of Heaven            2097      9.2       0                   0                   
Blade Runner                  2082      9.1       0                   0                   
The Gold Rush                 2025      9.1       0                   0                   
Before Sunrise                2095      9.1       0                   0                   
12 Years a Slave              2013      9.1       0                   0                   
Klaus                         2019      9.2       0                   0                   
Harry Potter and the Death... 2011      9.1       0                   0                   
On the Waterfront             2054      9.1       0                   0                   
Ben-Hur                       2059      9.1       0                   0                   
Gone Girl                     2014      9.1       0                   0                   
The Grand Budapest Hotel      2014      9.1       0                   0                   
Wild Strawberries             2057      9.1       0                   0                   
The General                   2026      9.1       0                   0                   
The Third Man                 2049      9.1       0                   0                   
In the Name of the Father     2093      9.1       0                   0                   
The Deer Hunter               2078      9.1       0                   0                   
Barry Lyndon                  2075      9.1       0                   0                   
Hacksaw Ridge                 2016      9.1       0                   0                   
The Wages of Fear             2053      9.2       0                   0                   
Memories of Murder            2003      9.1       0                   0                   
Sherlock Jr.                  2024      9.2       0                   0                   
Wild Tales                    2014      9.1       0                   0                   
Mr. Smith Goes to Washington  2039      9.1       0                   0                   
Mad Max: Fury Road            2015      9.1       0                   0                   
The Seventh Seal              2057      9.1       0                   0                   
Mary and Max                  2009      9.1       0                   0                   
How to Train Your Dragon      2010      9.1       0                   0                   
Room                          2015      9.1       0                   0                   
Monsters, Inc.                2001      9.1       0                   0                   
Jaws                          2075      9.1       0                   0                   
Dead Poets Society            2089      9.1       0                   0                   
The Big Lebowski              2098      9.1       0                   0                   
Tokyo Story                   2053      9.2       0                   0                   
The Passion of Joan of Arc    2028      9.2       0                   0                   
Hotel Rwanda                  2004      9.1       0                   0                   
Ford v Ferrari                2019      9.1       0                   0                   
Rocky                         2076      9.1       0                   0                   
Platoon                       2086      9.1       0                   0                   
Ratatouille                   2007      9.1       0                   0                   
Spotlight                     2015      9.1       0                   0                   
The Terminator                2084      9.1       0                   0                   
Logan                         2017      9.1       0                   0                   
Stand by Me                   2086      9.1       0                   0                   
Rush                          2013      9.1       0                   0                   
Network                       2076      9.1       0                   0                   
Into the Wild                 2007      9.1       0                   0                   
Before Sunset                 2004      9.1       0                   0                   
The Wizard of Oz              2039      9.1       0                   0                   
Pather Panchali               2055      9.3       0                   0                   
Groundhog Day                 2093      9.1       0                   0                   
The Best Years of Our Lives   2046      9.1       0                   0                   
The Exorcist                  2073      9.1       0                   0                   
The Incredibles               2004      9         0                   0                   
To Be or Not to Be            2042      9.2       0                   0                   
La haine                      2095      9.1       0                   0                   
The Battle of Algiers         2066      9.1       0                   0                   
Pirates of the Caribbean: ... 2003      9.1       0                   0                   
Hachi: A Dog's Tale           2009      9.1       0                   0                   
The Grapes of Wrath           2040      9.1       0                   0                   
Jai Bhim                      2021      9.8       0                   0                   
My Father and My Son          2005      9.2       0                   0                   
Amores Perros                 2000      9.1       0                   0                   
Rebecca                       2040      9.1       0                   0                   
Cool Hand Luke                2067      9.1       0                   0                   
The Handmaiden                2016      9.1       0                   0                   
The 400 Blows                 2059      9.1       0                   0                   
The Sound of Music            2065      9.1       0                   0                   
It Happened One Night         2034      9.1       0                   0                   
Persona                       2066      9.1       0                   0                   
Life of Brian                 2079      9         0                   0                   
The Iron Giant                2099      9.1       0                   0                   
The Help                      2011      9.1       0                   0                   
Dersu Uzala                   2075      9.2       0                   0                   
Aladdin                       2092      9         0                   0                   
Gandhi                        2082      9         0                   0                   
Dances with Wolves            2090      9         0                   0                   
----------------------------------------------------------------------------------------------------

Filtered movies (entries count: 0):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
----------------------------------------------------------------------------------------------------
No movies found
----------------------------------------------------------------------------------------------------
